bid,bname,taxa,
ENA|CP007476|CP007476.1,Ehrlichia chaffeensis str. Liberty complete genome. [13-NOV-2015],Ehrlichia chaffeensis,
ENA|CP007477|CP007477.1,Ehrlichia chaffeensis str. Osceola complete genome. [13-NOV-2015],Ehrlichia chaffeensis,
ENA|CP007478|CP007478.1,Ehrlichia chaffeensis str. Saint Vincent complete genome. [13-NOV-2015],Ehrlichia chaffeensis,
ENA|CP007479|CP007479.1,Ehrlichia chaffeensis str. Wakulla complete genome. [13-NOV-2015],Ehrlichia chaffeensis,
ENA|CP007480|CP007480.1,Ehrlichia chaffeensis str. West Paces complete genome. [13-NOV-2015],Ehrlichia chaffeensis,
ENA|CP006917|CP006917.1,Ehrlichia muris AS145 complete genome. [24-FEB-2017],Ehrlichia muris,
ENA|CR925677|CR925677.1,Ehrlichia ruminantium str. Gardel complete genome. [24-FEB-2017],Ehrlichia ruminantium,
ENA|CR767821|CR767821.1,Ehrlichia ruminantium strain Welgevonden complete genome [24-FEB-2017],Ehrlichia ruminantium,
ENA|CR925678|CR925678.1,Ehrlichia ruminantium str. Welgevonden complete genome. [24-FEB-2017],Ehrlichia ruminantium,
ENA|CP007474|CP007474.1,Ehrlichia sp. HF complete genome. [24-FEB-2017],Ehrlichia sp. HF,
ENA|CP001055|CP001055.1,Elusimicrobium minutum Pei191 complete genome. [24-FEB-2017],Elusimicrobium minutum,
ENA|CP002961|CP002961.1,Emticicia oligotrophica DSM 17448 complete genome. [24-FEB-2017],Emticicia oligotrophica,
ENA|FO203355|FO203355.1,Enterobacter aerogenes EA1509E complete genome. [11-NOV-2016],Enterobacter aerogenes,
ENA|CP002824|CP002824.1,Enterobacter aerogenes KCTC 2190 complete genome. [24-FEB-2017],Enterobacter aerogenes,
ENA|CP007546|CP007546.1,Enterobacter asburiae L1 complete genome. [24-FEB-2017],Enterobacter asburiae,
ENA|CP003026|CP003026.1,Enterobacter asburiae LF7a complete genome. [24-FEB-2017],Enterobacter asburiae,
ENA|CP009756|CP009756.1,Enterobacter cloacae strain GGT036 complete genome. [11-NOV-2016],Enterobacter cloacae,
ENA|CP008823|CP008823.1,Enterobacter cloacae ECNIH2 complete genome. [11-NOV-2016],Enterobacter cloacae,
ENA|CP008897|CP008897.1,Enterobacter cloacae ECNIH3 complete genome. [11-NOV-2016],Enterobacter cloacae,
ENA|CP008905|CP008905.1,Enterobacter cloacae ECR091 complete genome. [11-NOV-2016],Enterobacter cloacae,
ENA|CP002886|CP002886.1,Enterobacter cloacae EcWSU1 complete genome. [24-FEB-2017],Enterobacter cloacae,
ENA|CP006580|CP006580.1,Enterobacter cloacae P101 complete genome. [24-FEB-2017],Enterobacter cloacae,
ENA|CP001918|CP001918.1,Enterobacter cloacae subsp. cloacae ATCC 13047 complete genome. [24-MAR-2017],Enterobacter cloacae,
ENA|CP003737|CP003737.1,Enterobacter cloacae subsp. cloacae ENHKU01 complete genome. [24-FEB-2017],Enterobacter cloacae,
ENA|FP929040|FP929040.1,Enterobacter cloacae subsp. cloacae NCTC 9394 draft genome. [11-NOV-2016],Enterobacter cloacae,
ENA|CP003678|CP003678.1,Enterobacter cloacae subsp. dissolvens SDM complete genome. [24-FEB-2017],Enterobacter cloacae,
ENA|CP002272|CP002272.1,Enterobacter lignolyticus SCF1 complete genome. [24-FEB-2017],Enterobacter lignolyticus,
